Morus_011908-R1	HART063A_031431-R1
Morus_012067-R1	HART063A_031432-R1
Morus_011610-R1	HART063A_031434-R1
Morus_012490-R1	HART063A_031435-R1
Morus_011747-R1	HART063A_031439-R1
Morus_011538-R1	HART063A_031440-R1
Morus_011577-R1	HART063A_031443-R1
Morus_011576-R1	HART063A_031444-R1
Morus_011642-R1	HART063A_031445-R1
Morus_011490-R1	HART063A_031446-R1
Morus_011447-R1	HART063A_031449-R1
Morus_011759-R1	HART063A_031453-R1
Morus_011488-R1	HART063A_031454-R1
Morus_011332-R1	HART063A_031455-R1
Morus_011358-R1	HART063A_031456-R1
Morus_012428-R1	HART063A_031457-R1
Morus_012030-R1	HART063A_031460-R1
Morus_011809-R1	HART063A_031467-R1
Morus_012706-R1	HART063A_031469-R1
Morus_012480-R1	HART063A_031470-R1
Morus_011519-R1	HART063A_031471-R1
Morus_011847-R1	HART063A_031473-R1
Morus_012129-R1	HART063A_031474-R1
Morus_011574-R1	HART063A_031475-R1
Morus_011701-R1	HART063A_031476-R1
Morus_011773-R1	HART063A_031480-R1
Morus_012284-R1	HART063A_031483-R1
Morus_012495-R1	HART063A_031485-R1
Morus_012479-R1	HART063A_031487-R1
Morus_011439-R1	HART063A_031488-R1
Morus_011548-R1	HART063A_031489-R1
Morus_012242-R1	HART063A_031490-R1
Morus_011760-R1	HART063A_031491-R1
Morus_012387-R1	HART063A_031492-R7
Morus_011400-R1	HART063A_031495-R1
Morus_012709-R1	HART063A_031497-R1
Morus_012681-R1	HART063A_031499-R1
Morus_012105-R1	HART063A_031500-R1
Morus_011377-R1	HART063A_031503-R1
Morus_011757-R1	HART063A_031504-R1
Morus_011480-R1	HART063A_031505-R1
Morus_011803-R1	HART063A_031506-R1
Morus_012672-R1	HART063A_031509-R1
Morus_011384-R2	HART063A_031510-R2
Morus_011884-R1	HART063A_031511-R2
Morus_011946-R1	HART063A_031514-R1
Morus_012596-R1	HART063A_031515-R2
Morus_unassigned_transcript_3507	HART063A_031516-R1
Morus_012762-R1	HART063A_031519-R2
Morus_011558-R1	HART063A_031520-R1
Morus_011995-R1	HART063A_031521-R1
Morus_012616-R1	HART063A_031522-R1
Morus_012727-R2	HART063A_031523-R1
Morus_011693-R1	HART063A_031524-R1
Morus_011713-R1	HART063A_031527-R1
Morus_011481-R1	HART063A_031528-R1
Morus_011433-R1	HART063A_031534-R1
Morus_011569-R1	HART063A_031535-R1
Morus_012378-R1	HART063A_031536-R1
Morus_012379-R1	HART063A_031537-R1
Morus_011513-R3	HART063A_031538-R2
Morus_011820-R1	HART063A_031539-R1
Morus_011456-R1	HART063A_031540-R1
Morus_011858-R1	HART063A_031543-R1
Morus_011431-R1	HART063A_031546-R1
Morus_012511-R1	HART063A_031547-R1
Morus_012538-R1	HART063A_031548-R1
Morus_012530-R1	HART063A_031549-R1
Morus_012505-R1	HART063A_031553-R1
Morus_012624-R1	HART063A_031554-R1
Morus_011428-R1	HART063A_031555-R1
Morus_011871-R1	HART063A_031556-R1
Morus_011870-R1	HART063A_031557-R1
Morus_012018-R1	HART063A_031558-R1
Morus_011924-R1	HART063A_031561-R1
Morus_011718-R1	HART063A_031563-R1
Morus_012009-R1	HART063A_031565-R1
Morus_unassigned_transcript_3324	HART063A_031566-R1
Morus_012772-R1	HART063A_031567-R1
Morus_012687-R1	HART063A_031569-R1
Morus_011505-R1	HART063A_031576-R1
Morus_012566-R1	HART063A_031577-R1
Morus_012656-R2	HART063A_031579-R4
Morus_012525-R1	HART063A_031580-R1
Morus_012023-R1	HART063A_031582-R1
Morus_012024-R1	HART063A_031583-R1
Morus_011913-R1	HART063A_031585-R1
Morus_011407-R1	HART063A_031588-R1
Morus_011406-R1	HART063A_031589-R1
Morus_011602-R2	HART063A_031590-R1
Morus_012076-R1	HART063A_031591-R1
Morus_012808-R1	HART063A_031592-R1
Morus_012012-R1	HART063A_031593-R1
Morus_011527-R1	HART063A_031594-R1
Morus_011575-R1	HART063A_031595-R1
Morus_012403-R1	HART063A_031596-R1
Morus_011561-R1	HART063A_031598-R1
Morus_011727-R1	HART063A_031600-R1
Morus_011310-R2	HART063A_031602-R1
Morus_012388-R2	HART063A_031603-R1
Morus_011694-R1	HART063A_031607-R1
Morus_011856-R1	HART063A_031608-R1
Morus_011686-R1	HART063A_031610-R1
Morus_011883-R1	HART063A_031611-R1
Morus_012774-R1	HART063A_031613-R1
Morus_011768-R1	HART063A_031614-R1
Morus_011514-R1	HART063A_031615-R1
Morus_012776-R1	HART063A_031616-R1
Morus_012015-R1	HART063A_031620-R1
Morus_012469-R1	HART063A_031621-R1
Morus_011529-R1	HART063A_031622-R1
Morus_011790-R1	HART063A_031623-R1
Morus_011468-R1	HART063A_031624-R1
Morus_012564-R1	HART063A_031626-R1
Morus_011805-R1	HART063A_031627-R1
Morus_011429-R1	HART063A_031630-R1
Morus_011580-R1	HART063A_031631-R1
Morus_unassigned_transcript_3346	HART063A_031633-R1
Morus_012080-R1	HART063A_031635-R1
Morus_012396-R3	HART063A_031639-R1
Morus_012642-R1	HART063A_031640-R1
Morus_012109-R1	HART063A_031643-R1
Morus_000940-R1	HART063A_031647-R1
Morus_011814-R1	HART063A_031654-R1
Morus_012510-R1	HART063A_031657-R1
Morus_012364-R1	HART063A_031658-R1
Morus_unassigned_transcript_3205	HART063A_031659-R1
Morus_011990-R1	HART063A_031662-R1
Morus_011633-R1	HART063A_031667-R1
Morus_011879-R1	HART063A_031668-R1
Morus_012392-R1	HART063A_031674-R1
Morus_012452-R1	HART063A_031676-R1
Morus_012017-R1	HART063A_031677-R2
Morus_012659-R1	HART063A_031679-R1
Morus_012004-R1	HART063A_031681-R1
Morus_011938-R1	HART063A_031683-R1
Morus_011605-R1	HART063A_031685-R1
Morus_011583-R1	HART063A_031686-R1
Morus_012519-R1	HART063A_031687-R1
Morus_011596-R1	HART063A_031690-R1
Morus_011907-R1	HART063A_031693-R1
Morus_012050-R1	HART063A_031698-R1
Morus_011526-R1	HART063A_031699-R1
Morus_011835-R1	HART063A_031701-R1
Morus_011652-R1	HART063A_031705-R1
Morus_011697-R2	HART063A_031706-R1
Morus_011840-R1	HART063A_031707-R1
Morus_012033-R1	HART063A_031710-R1
Morus_011436-R1	HART063A_031711-R1
Morus_011417-R1	HART063A_031712-R1
Morus_011985-R4	HART063A_031713-R1
Morus_011347-R1	HART063A_031714-R1
Morus_unassigned_transcript_3236	HART063A_031715-R1
Morus_012640-R1	HART063A_031717-R1
Morus_018431-R1	HART063A_031718-R1
Morus_011722-R2	HART063A_031719-R1
Morus_011724-R1	HART063A_031720-R1
Morus_011923-R1	HART063A_031721-R5
Morus_012637-R1	HART063A_031724-R1
Morus_011875-R1	HART063A_031725-R1
Morus_011598-R1	HART063A_031727-R1
Morus_011911-R1	HART063A_031730-R1
Morus_011354-R1	HART063A_031731-R1
Morus_012769-R1	HART063A_031734-R1
Morus_012035-R1	HART063A_031738-R1
Morus_012653-R1	HART063A_031739-R3
Morus_012741-R1	HART063A_031743-R1
Morus_012409-R1	HART063A_031744-R1
Morus_012414-R1	HART063A_031747-R1
Morus_011421-R6	HART063A_031748-R2
Morus_011523-R1	HART063A_031749-R1
Morus_011525-R1	HART063A_031754-R1
Morus_012102-R1	HART063A_031755-R1
Morus_011812-R1	HART063A_031756-R1
Morus_011859-R1	HART063A_031761-R1
Morus_012057-R1	HART063A_031762-R1
Morus_012688-R1	HART063A_031764-R1
Morus_011386-R1	HART063A_031765-R1
Morus_011673-R1	HART063A_031766-R1
Morus_011979-R1	HART063A_031769-R1
Morus_012569-R1	HART063A_031772-R1
Morus_011676-R1	HART063A_031774-R1
Morus_011402-R1	HART063A_031779-R1
Morus_012501-R1	HART063A_031783-R1
Morus_012476-R1	HART063A_031785-R1
Morus_012037-R1	HART063A_031787-R1
Morus_012146-R1	HART063A_031790-R1
Morus_011305-R1	HART063A_031796-R1
Morus_012157-R1	HART063A_031799-R1
Morus_012158-R1	HART063A_031801-R1
Morus_012044-R1	HART063A_031802-R1
Morus_012441-R1	HART063A_031803-R1
Morus_012710-R1	HART063A_031804-R1
Morus_011454-R1	HART063A_031805-R1
Morus_011896-R1	HART063A_031806-R1
Morus_011307-R1	HART063A_031808-R1
Morus_012011-R1	HART063A_031809-R1
Morus_unassigned_transcript_3399	HART063A_031811-R1
Morus_012082-R1	HART063A_031812-R1
Morus_012391-R1	HART063A_031813-R1
Morus_011312-R1	HART063A_031814-R1
Morus_012786-R3	HART063A_031815-R3
Morus_011922-R1	HART063A_031817-R1
Morus_012413-R1	HART063A_031818-R1
Morus_012040-R1	HART063A_031819-R1
Morus_012398-R1	HART063A_031820-R1
Morus_011749-R1	HART063A_031821-R1
Morus_012139-R1	HART063A_031822-R1
Morus_012140-R1	HART063A_031824-R1
Morus_011933-R1	HART063A_031825-R1
Morus_012353-R1	HART063A_031826-R1
Morus_012650-R1	HART063A_031829-R1
Morus_011929-R1	HART063A_031831-R1
Morus_011412-R1	HART063A_031833-R1
Morus_012439-R1	HART063A_031836-R1
Morus_012788-R1	HART063A_031837-R1
Morus_012516-R1	HART063A_031839-R1
Morus_011912-R1	HART063A_031840-R1
Morus_011993-R2	HART063A_031843-R1
Morus_012389-R1	HART063A_031844-R1
Morus_011560-R1	HART063A_031845-R1
Morus_011573-R1	HART063A_031846-R2
Morus_011991-R1	HART063A_031848-R1
Morus_011837-R1	HART063A_031850-R1
Morus_011839-R1	HART063A_031851-R1
Morus_012487-R1	HART063A_031853-R1
Morus_011393-R1	HART063A_031854-R1
Morus_011541-R1	HART063A_031855-R1
Morus_011337-R1	HART063A_031858-R1
Morus_011528-R1	HART063A_031860-R1
Morus_012584-R1	HART063A_031861-R1
Morus_011942-R1	HART063A_031862-R2
Morus_011719-R1	HART063A_031863-R1
Morus_012635-R1	HART063A_031865-R1
Morus_011477-R1	HART063A_031869-R1
Morus_012674-R1	HART063A_031870-R1
Morus_011794-R1	HART063A_031871-R1
Morus_012485-R1	HART063A_031872-R1
Morus_012394-R1	HART063A_031873-R1
Morus_011842-R1	HART063A_031874-R1
Morus_012726-R1	HART063A_031875-R1
Morus_012123-R1	HART063A_031876-R1
Morus_012087-R1	HART063A_031877-R1
Morus_011868-R1	HART063A_031879-R1
Morus_011925-R1	HART063A_031880-R1
Morus_012074-R1	HART063A_031881-R1
Morus_012075-R1	HART063A_031882-R1
Morus_011737-R1	HART063A_031883-R1
Morus_012679-R1	HART063A_031884-R1
Morus_012502-R1	HART063A_031885-R1
Morus_011960-R1	HART063A_031888-R1
Morus_012130-R1	HART063A_031889-R1
Morus_012592-R1	HART063A_031890-R1
Morus_012573-R1	HART063A_031891-R1
Morus_011784-R1	HART063A_031892-R1
Morus_012514-R1	HART063A_031894-R1
Morus_011609-R1	HART063A_031895-R1
Morus_012072-R1	HART063A_031896-R1
Morus_012122-R1	HART063A_031897-R1
Morus_011949-R1	HART063A_031903-R1
Morus_012143-R1	HART063A_031904-R1
Morus_012438-R1	HART063A_031907-R1
Morus_012508-R1	HART063A_031908-R1
Morus_012594-R1	HART063A_031909-R1
Morus_011826-R1	HART063A_031910-R1
Morus_011972-R1	HART063A_031914-R1
Morus_011685-R1	HART063A_031915-R1
Morus_011742-R1	HART063A_031916-R1
Morus_011512-R1	HART063A_031917-R1
Morus_012623-R3	HART063A_031918-R1
Morus_011316-R1	HART063A_031919-R1
Morus_011443-R1	HART063A_031920-R1
Morus_012054-R1	HART063A_031921-R1
Morus_012029-R1	HART063A_031923-R1
Morus_011462-R2	HART063A_031924-R1
Morus_011515-R1	HART063A_031927-R1
Morus_011707-R1	HART063A_031928-R1
Morus_012549-R2	HART063A_031932-R2
Morus_012258-R1	HART063A_031933-R1
Morus_012450-R1	HART063A_031934-R1
Morus_012399-R1	HART063A_031935-R1
Morus_012119-R1	HART063A_031936-R1
Morus_012325-R1	HART063A_031937-R2
Morus_012426-R1	HART063A_031938-R1
Morus_012633-R1	HART063A_031942-R1
Morus_012578-R1	HART063A_031943-R1
Morus_012115-R1	HART063A_031944-R1
Morus_012512-R1	HART063A_031946-R1
Morus_011775-R1	HART063A_031947-R1
Morus_011827-R1	HART063A_031948-R1
Morus_011791-R1	HART063A_031949-R1
Morus_012092-R1	HART063A_031951-R1
Morus_012077-R1	HART063A_031952-R1
Morus_012739-R1	HART063A_031954-R1
Morus_012540-R1	HART063A_031955-R1
Morus_012541-R1	HART063A_031956-R1
Morus_012779-R1	HART063A_031958-R1
Morus_011550-R1	HART063A_031961-R1
Morus_011595-R1	HART063A_031962-R1
Morus_unassigned_transcript_3003	HART063A_031965-R1
Morus_012752-R1	HART063A_031968-R1
Morus_011333-R1	HART063A_031970-R1
Morus_012410-R2	HART063A_031971-R1
Morus_012014-R1	HART063A_031973-R1
Morus_011411-R1	HART063A_031974-R2
Morus_011838-R1	HART063A_031975-R1
Morus_011486-R1	HART063A_031977-R1
Morus_011487-R1	HART063A_031978-R1
Morus_012448-R1	HART063A_031979-R1
Morus_012460-R1	HART063A_031981-R1
Morus_011620-R1	HART063A_031987-R1
Morus_012500-R3	HART063A_031988-R2
Morus_012135-R1	HART063A_031989-R1
Morus_011372-R1	HART063A_031990-R1
Morus_012526-R1	HART063A_031992-R1
Morus_011330-R1	HART063A_031993-R1
Morus_011470-R1	HART063A_031995-R2
Morus_012568-R1	HART063A_031997-R1
Morus_unassigned_transcript_3330	HART063A_031999-R1
Morus_012051-R1	HART063A_032000-R1
Morus_012052-R1	HART063A_032001-R1
Morus_012751-R1	HART063A_032003-R1
Morus_011405-R1	HART063A_032009-R1
Morus_012723-R1	HART063A_032010-R1
Morus_011368-R1	HART063A_032011-R1
Morus_012660-R1	HART063A_032012-R1
Morus_011806-R1	HART063A_032014-R3
Morus_012599-R1	HART063A_032017-R1
Morus_011735-R1	HART063A_032020-R1
Morus_012792-R1	HART063A_032021-R1
Morus_012100-R1	HART063A_032022-R1
Morus_012055-R1	HART063A_032026-R1
Morus_012607-R1	HART063A_032027-R1
Morus_012767-R1	HART063A_032029-R1
Morus_012354-R1	HART063A_032030-R1
Morus_011977-R1	HART063A_032031-R1
Morus_012113-R1	HART063A_032032-R1
Morus_012418-R1	HART063A_032035-R1
Morus_011510-R1	HART063A_032038-R1
Morus_unassigned_transcript_3538	HART063A_032039-R1
Morus_011945-R1	HART063A_032040-R1
Morus_011301-R1	HART063A_032041-R1
Morus_012793-R1	HART063A_032042-R1
Morus_011931-R1	HART063A_032045-R1
Morus_011721-R1	HART063A_032048-R1
Morus_011452-R1	HART063A_032049-R1
Morus_012532-R1	HART063A_032050-R1
Morus_012537-R1	HART063A_032055-R1
Morus_011611-R1	HART063A_032056-R1
Morus_unassigned_transcript_3221	HART063A_032057-R1
Morus_011715-R1	HART063A_032058-R1
Morus_011551-R2	HART063A_032060-R1
Morus_012504-R1	HART063A_032062-R1
Morus_011739-R1	HART063A_032063-R1
Morus_012701-R1	HART063A_032068-R1
Morus_012175-R1	HART063A_032071-R1
Morus_011464-R1	HART063A_032073-R1
Morus_012185-R1	HART063A_032076-R1
Morus_012572-R1	HART063A_032084-R1
Morus_012212-R1	HART063A_032098-R1
Morus_011825-R1	HART063A_032099-R1
Morus_012090-R1	HART063A_032102-R1
Morus_012227-R1	HART063A_032106-R1
Morus_011618-R1	HART063A_032117-R1
Morus_011885-R1	HART063A_032119-R1
Morus_012263-R1	HART063A_032133-R1
Morus_012264-R1	HART063A_032135-R1
Morus_012280-R1	HART063A_032149-R1
Morus_012288-R1	HART063A_032157-R1
Morus_010078-R1	HART063A_032163-R1
Morus_012317-R1	HART063A_032179-R1
Morus_012326-R1	HART063A_032184-R1
Morus_012331-R1	HART063A_032186-R1
Morus_012366-R1	HART063A_032191-R1
Morus_012336-R1	HART063A_032193-R1
Morus_012350-R1	HART063A_032196-R1
Morus_012435-R1	HART063A_032198-R1
Morus_012544-R1	HART063A_032199-R1
Morus_012545-R1	HART063A_032200-R1
Morus_012716-R1	HART063A_032202-R1
Morus_011789-R1	HART063A_032205-R1
Morus_012489-R1	HART063A_032206-R1
Morus_012604-R1	HART063A_032207-R1
Morus_011796-R1	HART063A_032208-R1
Morus_011772-R1	HART063A_032213-R1
Morus_011351-R1	HART063A_032215-R1
Morus_011379-R1	HART063A_032216-R1
Morus_011562-R1	HART063A_032219-R1
Morus_012094-R1	HART063A_032221-R1
Morus_011869-R1	HART063A_032222-R1
Morus_012690-R1	HART063A_032223-R1
Morus_011353-R1	HART063A_032229-R1
Morus_012345-R1	HART063A_032232-R1
Morus_011555-R1	HART063A_032234-R1
Morus_012027-R1	HART063A_032237-R1
Morus_011705-R2	HART063A_032242-R1
Morus_011706-R1	HART063A_032243-R1
Morus_011453-R1	HART063A_032244-R1
Morus_011771-R2	HART063A_032245-R1
Morus_unassigned_transcript_3301	HART063A_032250-R1
Morus_012579-R1	HART063A_032254-R1
Morus_012611-R1	HART063A_032255-R1
Morus_012805-R1	HART063A_032258-R1
Morus_012535-R1	HART063A_032259-R1
Morus_011506-R1	HART063A_032260-R1
Morus_013029-R1	HART063A_032261-R1
Morus_013560-R1	HART063A_032262-R1
Morus_012861-R1	HART063A_032263-R1
Morus_014183-R1	HART063A_032265-R1
Morus_013923-R1	HART063A_032267-R1
Morus_014210-R1	HART063A_032268-R1
Morus_013475-R1	HART063A_032270-R1
Morus_013347-R3	HART063A_032271-R2
Morus_013579-R1	HART063A_032272-R1
Morus_013264-R1	HART063A_032274-R1
Morus_013220-R1	HART063A_032282-R1
Morus_012880-R1	HART063A_032283-R1
Morus_013940-R1	HART063A_032284-R1
Morus_013581-R1	HART063A_032285-R1
Morus_013966-R1	HART063A_032287-R1
Morus_013869-R1	HART063A_032291-R1
Morus_012865-R1	HART063A_032292-R1
Morus_013296-R1	HART063A_032293-R1
Morus_013488-R1	HART063A_032294-R1
Morus_013602-R1	HART063A_032297-R1
Morus_013245-R1	HART063A_032298-R1
Morus_013066-R1	HART063A_032300-R1
Morus_013515-R1	HART063A_032301-R1
Morus_013516-R1	HART063A_032302-R1
Morus_014190-R1	HART063A_032303-R1
Morus_013354-R1	HART063A_032304-R1
Morus_013718-R1	HART063A_032305-R1
Morus_012926-R1	HART063A_032306-R1
Morus_013447-R1	HART063A_032307-R1
Morus_013695-R1	HART063A_032310-R1
Morus_013379-R1	HART063A_032312-R1
Morus_012819-R1	HART063A_032313-R1
Morus_013168-R2	HART063A_032315-R3
Morus_014115-R1	HART063A_032316-R1
Morus_012983-R1	HART063A_032319-R1
Morus_012836-R1	HART063A_032324-R1
Morus_013140-R1	HART063A_032325-R1
Morus_013041-R1	HART063A_032327-R1
Morus_013064-R1	HART063A_032329-R1
Morus_014048-R1	HART063A_032336-R1
Morus_012938-R1	HART063A_032337-R1
Morus_013159-R1	HART063A_032338-R1
Morus_unassigned_transcript_3660	HART063A_032339-R1
Morus_014200-R1	HART063A_032340-R1
Morus_013660-R1	HART063A_032341-R1
Morus_014180-R1	HART063A_032343-R1
Morus_013892-R1	HART063A_032344-R1
Morus_013358-R1	HART063A_032349-R1
Morus_013049-R1	HART063A_032357-R1
Morus_014145-R1	HART063A_032358-R1
Morus_013386-R1	HART063A_032362-R1
Morus_013330-R1	HART063A_032367-R1
Morus_014149-R1	HART063A_032369-R1
Morus_014025-R1	HART063A_032370-R1
Morus_013125-R1	HART063A_032371-R1
Morus_012947-R1	HART063A_032372-R1
Morus_013270-R1	HART063A_032373-R1
Morus_014105-R1	HART063A_032374-R1
Morus_014085-R1	HART063A_032375-R1
Morus_013720-R1	HART063A_032377-R1
Morus_013485-R1	HART063A_032379-R1
Morus_013169-R1	HART063A_032382-R1
Morus_013110-R2	HART063A_032383-R1
Morus_013111-R1	HART063A_032384-R1
Morus_013910-R1	HART063A_032385-R3
Morus_013639-R1	HART063A_032386-R1
Morus_013957-R1	HART063A_032387-R1
Morus_013306-R1	HART063A_032391-R1
Morus_012922-R1	HART063A_032392-R1
Morus_008074-R1	HART063A_032395-R1
Morus_unassigned_transcript_3819	HART063A_032398-R1
Morus_014137-R1	HART063A_032400-R1
Morus_013547-R1	HART063A_032401-R1
Morus_012817-R1	HART063A_032402-R1
Morus_012912-R1	HART063A_032403-R1
Morus_012934-R1	HART063A_032404-R1
Morus_013092-R1	HART063A_032405-R1
Morus_013093-R1	HART063A_032406-R1
Morus_013314-R1	HART063A_032408-R1
Morus_013685-R1	HART063A_032409-R1
Morus_012901-R1	HART063A_032410-R1
Morus_014230-R1	HART063A_032411-R1
Morus_014063-R1	HART063A_032413-R1
Morus_012056-R1	HART063A_032418-R1
Morus_013593-R1	HART063A_032419-R1
Morus_003016-R1	HART063A_032420-R1
Morus_013350-R1	HART063A_032422-R1
Morus_014002-R1	HART063A_032425-R1
Morus_012964-R1	HART063A_032428-R1
Morus_013600-R1	HART063A_032429-R1
Morus_013570-R1	HART063A_032430-R1
Morus_013427-R1	HART063A_032431-R1
Morus_unassigned_transcript_3766	HART063A_032432-R1
Morus_013035-R1	HART063A_032435-R1
Morus_013519-R1	HART063A_032436-R1
Morus_013234-R1	HART063A_032438-R1
Morus_013647-R1	HART063A_032440-R1
Morus_013240-R1	HART063A_032442-R1
Morus_012992-R1	HART063A_032445-R1
Morus_013508-R1	HART063A_032446-R1
Morus_012952-R1	HART063A_032448-R1
Morus_014223-R1	HART063A_032450-R1
Morus_013190-R1	HART063A_032451-R1
Morus_013770-R1	HART063A_032453-R1
Morus_013194-R1	HART063A_032455-R1
Morus_013583-R1	HART063A_032456-R1
Morus_014188-R1	HART063A_032460-R1
Morus_013521-R1	HART063A_032461-R1
Morus_unassigned_transcript_3746	HART063A_032465-R1
Morus_013202-R1	HART063A_032466-R1
Morus_013214-R1	HART063A_032467-R1
Morus_013150-R1	HART063A_032469-R1
Morus_013137-R1	HART063A_032472-R1
Morus_007636-R1	HART063A_032473-R1
Morus_014012-R1	HART063A_032476-R1
Morus_015724-R1	HART063A_032487-R1
Morus_012840-R1	HART063A_032488-R1
Morus_012995-R1	HART063A_032489-R1
Morus_013124-R1	HART063A_032490-R1
Morus_013635-R1	HART063A_032493-R1
Morus_013468-R1	HART063A_032495-R1
Morus_013067-R1	HART063A_032496-R1
Morus_012867-R1	HART063A_032499-R1
Morus_012877-R1	HART063A_032502-R1
Morus_003024-R1	HART063A_032503-R1
Morus_013800-R1	HART063A_032506-R1
Morus_013431-R1	HART063A_032507-R1
Morus_012820-R1	HART063A_032510-R1
Morus_013127-R1	HART063A_032511-R1
Morus_unassigned_transcript_3628	HART063A_032514-R1
Morus_013112-R1	HART063A_032518-R1
Morus_013454-R3	HART063A_032520-R5
Morus_014109-R1	HART063A_032522-R1
Morus_013095-R1	HART063A_032523-R1
Morus_012881-R1	HART063A_032524-R1
Morus_013148-R1	HART063A_032525-R1
Morus_013997-R1	HART063A_032526-R1
Morus_013028-R1	HART063A_032529-R1
Morus_013482-R1	HART063A_032530-R1
Morus_unassigned_transcript_211	HART063A_032531-R1
Morus_013430-R1	HART063A_032539-R1
Morus_013032-R1	HART063A_032540-R1
Morus_014057-R1	HART063A_032541-R1
Morus_013527-R1	HART063A_032542-R1
Morus_013131-R1	HART063A_032543-R1
Morus_012971-R1	HART063A_032544-R1
Morus_013182-R1	HART063A_032546-R1
Morus_013183-R1	HART063A_032547-R1
Morus_013465-R1	HART063A_032548-R1
Morus_013906-R1	HART063A_032549-R1
Morus_012888-R1	HART063A_032551-R1
Morus_013348-R1	HART063A_032554-R2
Morus_013173-R1	HART063A_032555-R2
Morus_013303-R1	HART063A_032557-R1
Morus_013193-R1	HART063A_032562-R1
Morus_013640-R1	HART063A_032563-R1
Morus_014043-R1	HART063A_032565-R1
Morus_013821-R1	HART063A_032566-R1
Morus_013523-R1	HART063A_032569-R1
Morus_013524-R1	HART063A_032570-R1
Morus_013400-R1	HART063A_032571-R3
Morus_014015-R1	HART063A_032573-R1
Morus_013960-R1	HART063A_032575-R1
Morus_013592-R1	HART063A_032576-R1
Morus_013931-R1	HART063A_032577-R1
Morus_012874-R1	HART063A_032578-R1
Morus_001564-R1	HART063A_032580-R1
Morus_013338-R1	HART063A_032582-R1
Morus_012953-R1	HART063A_032583-R1
Morus_013952-R1	HART063A_032584-R1
Morus_012873-R1	HART063A_032585-R1
Morus_013450-R1	HART063A_032586-R1
Morus_013022-R1	HART063A_032587-R1
Morus_012887-R1	HART063A_032589-R1
Morus_013056-R1	HART063A_032590-R1
Morus_013014-R1	HART063A_032591-R1
Morus_013999-R1	HART063A_032592-R1
Morus_012815-R1	HART063A_032593-R1
Morus_013063-R1	HART063A_032594-R1
Morus_013351-R1	HART063A_032595-R1
Morus_013587-R1	HART063A_032596-R1
Morus_013009-R1	HART063A_032597-R1
Morus_013047-R1	HART063A_032600-R1
Morus_013042-R1	HART063A_032602-R1
Morus_013166-R1	HART063A_032604-R1
Morus_012883-R1	HART063A_032605-R1
Morus_013553-R1	HART063A_032606-R1
Morus_013387-R1	HART063A_032608-R1
Morus_013693-R1	HART063A_032609-R1
Morus_012830-R1	HART063A_032610-R1
Morus_013878-R1	HART063A_032612-R1
Morus_013912-R1	HART063A_032617-R1
Morus_012911-R1	HART063A_032620-R1
Morus_014081-R1	HART063A_032621-R1
Morus_013068-R1	HART063A_032624-R1
Morus_014086-R1	HART063A_032626-R1
Morus_013945-R1	HART063A_032627-R1
Morus_013968-R1	HART063A_032629-R1
Morus_013969-R1	HART063A_032630-R1
Morus_013471-R1	HART063A_032631-R1
Morus_013539-R1	HART063A_032633-R1
Morus_011845-R1	HART063A_032641-R1
Morus_013533-R1	HART063A_032643-R1
Morus_012977-R1	HART063A_032648-R1
Morus_014052-R1	HART063A_032651-R1
Morus_014074-R1	HART063A_032652-R1
Morus_014084-R1	HART063A_032654-R1
Morus_012985-R1	HART063A_032660-R1
Morus_013499-R1	HART063A_032661-R1
Morus_013531-R1	HART063A_032662-R1
Morus_013656-R1	HART063A_032663-R1
Morus_014197-R1	HART063A_032666-R1
Morus_014053-R1	HART063A_032668-R1
Morus_013655-R1	HART063A_032669-R1
Morus_013632-R1	HART063A_032671-R1
Morus_013501-R1	HART063A_032674-R1
Morus_013555-R1	HART063A_032678-R1
Morus_013411-R1	HART063A_032681-R1
Morus_014229-R1	HART063A_032682-R1
Morus_013894-R1	HART063A_032683-R1
Morus_013456-R1	HART063A_032686-R1
Morus_014219-R2	HART063A_032687-R3
Morus_013619-R1	HART063A_032690-R1
Morus_014061-R1	HART063A_032691-R1
Morus_013143-R1	HART063A_032693-R1
Morus_013598-R1	HART063A_032694-R1
Morus_013261-R1	HART063A_032695-R1
Morus_013362-R1	HART063A_032696-R1
Morus_014028-R1	HART063A_032698-R1
Morus_013065-R1	HART063A_032700-R1
Morus_013054-R1	HART063A_032701-R1
Morus_014226-R1	HART063A_032702-R1
Morus_013228-R1	HART063A_032703-R1
Morus_013210-R1	HART063A_032704-R1
Morus_013280-R1	HART063A_032705-R1
Morus_013646-R1	HART063A_032708-R2
Morus_013349-R1	HART063A_032709-R1
Morus_013393-R1	HART063A_032711-R1
Morus_013394-R1	HART063A_032712-R2
Morus_013909-R1	HART063A_032713-R1
Morus_013512-R1	HART063A_032714-R1
Morus_012885-R1	HART063A_032715-R1
Morus_012837-R1	HART063A_032717-R1
Morus_013864-R1	HART063A_032718-R1
Morus_013978-R1	HART063A_032722-R1
Morus_013504-R1	HART063A_032723-R1
Morus_013324-R1	HART063A_032725-R1
Morus_014126-R1	HART063A_032726-R1
Morus_014127-R1	HART063A_032727-R1
Morus_013361-R1	HART063A_032728-R1
Morus_013096-R2	HART063A_032731-R1
Morus_013498-R1	HART063A_032732-R1
Morus_009758-R1	HART063A_032733-R1
Morus_013899-R1	HART063A_032734-R1
Morus_013491-R1	HART063A_032735-R1
Morus_013525-R1	HART063A_032736-R1
