Morus_000003-R1	Bato_000003-R1	ArtoA_013067-R1	ArtoB_020652-R1
Morus_004789-R1	Bato_004789-R1	ArtoA_020963-R1	ArtoB_019514-R1
Morus_004790-R1	Bato_004790-R1	ArtoA_020964-R1	ArtoB_019512-R1
Morus_004791-R1	Bato_004791-R1	ArtoA_020962-R1	ArtoB_019513-R2
Morus_004792-R1	Bato_004792-R1	ArtoA_020552-R3	ArtoB_019349-R1
Morus_004795-R1	Bato_004795-R1	ArtoA_021189-R1	ArtoB_019224-R1
Morus_004797-R1	Bato_004797-R1	ArtoA_020390-R1	ArtoB_019416-R1
Morus_004799-R1	Bato_004799-R1	ArtoA_020574-R2	ArtoB_019426-R1
Morus_004802-R1	Bato_004802-R1	ArtoA_020896-R1	ArtoB_019848-R1
Morus_004803-R1	Bato_004803-R1	ArtoA_unassigned_transcript_3418	ArtoB_019849-R1
Morus_004806-R1	Bato_004806-R1	ArtoA_unassigned_transcript_3360	ArtoB_018746-R1
Morus_004813-R1	Bato_004813-R1	ArtoA_020307-R1	ArtoB_019026-R1
Morus_004814-R8	Bato_004814-R8	ArtoA_020926-R2	ArtoB_019437-R1
Morus_004815-R1	Bato_004815-R1	ArtoA_015903-R1	ArtoB_unassigned_transcript_508
Morus_004816-R1	Bato_004816-R1	ArtoA_019985-R1	ArtoB_019289-R1
Morus_004817-R1	Bato_004817-R1	ArtoA_020593-R1	ArtoB_019166-R2
Morus_004819-R1	Bato_004819-R1	ArtoA_021635-R1	ArtoB_019181-R1
Morus_004822-R1	Bato_004822-R1	ArtoA_020707-R1	ArtoB_018808-R1
Morus_004823-R1	Bato_004823-R1	ArtoA_021127-R1	ArtoB_018916-R1
Morus_004826-R1	Bato_004826-R1	ArtoA_020512-R1	ArtoB_019758-R1
Morus_004828-R1	Bato_004828-R1	ArtoA_020725-R1	ArtoB_unassigned_transcript_3147
Morus_004829-R1	Bato_004829-R1	ArtoA_021087-R1	ArtoB_019855-R1
Morus_004830-R1	Bato_004830-R1	ArtoA_008483-R1	ArtoB_020872-R1
Morus_004833-R1	Bato_004833-R1	ArtoA_020677-R1	ArtoB_019770-R1
Morus_004834-R1	Bato_004834-R1	ArtoA_020678-R1	ArtoB_019771-R1
Morus_004835-R1	Bato_004835-R1	ArtoA_020937-R1	ArtoB_018823-R2
Morus_004839-R1	Bato_004839-R1	ArtoA_021284-R1	ArtoB_018499-R1
Morus_004843-R1	Bato_004843-R1	ArtoA_unassigned_transcript_3575	ArtoB_018481-R1
Morus_004849-R1	Bato_004849-R1	ArtoA_021039-R2	ArtoB_019449-R1
Morus_004850-R1	Bato_004850-R1	ArtoA_020113-R3	ArtoB_018761-R2
Morus_004852-R1	Bato_004852-R1	ArtoA_unassigned_transcript_3355	ArtoB_019125-R1
Morus_004854-R1	Bato_004854-R1	ArtoA_029884-R1	ArtoB_019035-R1
Morus_004855-R1	Bato_004855-R1	ArtoA_021260-R1	ArtoB_018755-R1
Morus_004861-R1	Bato_004861-R1	ArtoA_020807-R1	ArtoB_019860-R1
Morus_004862-R1	Bato_004862-R1	ArtoA_020832-R1	ArtoB_019235-R1
Morus_004864-R1	Bato_004864-R1	ArtoA_020013-R1	ArtoB_unassigned_transcript_2944
Morus_004867-R1	Bato_004867-R1	ArtoA_021028-R1	ArtoB_019342-R2
Morus_004870-R1	Bato_004870-R1	ArtoA_unassigned_transcript_3466	ArtoB_019456-R1
Morus_004872-R1	Bato_004872-R1	ArtoA_020605-R1	ArtoB_018705-R1
Morus_004873-R1	Bato_004873-R1	ArtoA_020565-R1	ArtoB_018662-R1
Morus_004874-R1	Bato_004874-R1	ArtoA_020974-R1	ArtoB_unassigned_transcript_3118
Morus_004875-R1	Bato_004875-R1	ArtoA_020345-R1	ArtoB_019205-R1
Morus_004876-R1	Bato_004876-R1	ArtoA_020584-R1	ArtoB_019316-R1
Morus_004877-R1	Bato_004877-R1	ArtoA_021275-R1	ArtoB_019318-R1
Morus_004880-R1	Bato_004880-R1	ArtoA_021662-R2	ArtoB_019042-R1
Morus_004882-R1	Bato_004882-R1	ArtoA_019034-R1	ArtoB_021233-R1
Morus_004883-R1	Bato_004883-R1	ArtoA_021512-R1	ArtoB_019370-R2
Morus_004884-R1	Bato_004884-R1	ArtoA_021526-R1	ArtoB_019433-R1
Morus_004888-R1	Bato_004888-R1	ArtoA_021273-R1	ArtoB_019152-R1
Morus_004893-R3	Bato_004893-R3	ArtoA_020929-R1	ArtoB_019430-R1
Morus_004897-R1	Bato_004897-R1	ArtoA_020999-R1	ArtoB_019506-R1
Morus_004898-R1	Bato_004898-R1	ArtoA_020642-R1	ArtoB_019366-R1
Morus_004904-R1	Bato_004904-R1	ArtoA_020985-R1	ArtoB_019142-R1
Morus_004905-R2	Bato_004905-R2	ArtoA_020103-R1	ArtoB_019561-R1
Morus_004909-R1	Bato_004909-R1	ArtoA_020388-R1	ArtoB_unassigned_transcript_3287
Morus_004911-R1	Bato_004911-R1	ArtoA_020472-R1	ArtoB_019259-R1
Morus_004912-R1	Bato_004912-R1	ArtoA_020471-R1	ArtoB_019202-R1
Morus_004914-R2	Bato_004914-R2	ArtoA_020546-R1	ArtoB_unassigned_transcript_3300
Morus_004918-R1	Bato_004918-R1	ArtoA_021001-R1	ArtoB_unassigned_transcript_3045
Morus_004920-R1	Bato_004920-R1	ArtoA_020578-R1	ArtoB_018702-R1
Morus_004922-R1	Bato_004922-R1	ArtoA_020566-R1	ArtoB_019459-R1
Morus_004923-R1	Bato_004923-R1	ArtoA_020621-R1	ArtoB_019303-R1
Morus_004924-R1	Bato_004924-R1	ArtoA_unassigned_transcript_1	ArtoB_021747-R1
Morus_004925-R1	Bato_004925-R1	ArtoA_019989-R1	ArtoB_019873-R1
Morus_004927-R2	Bato_004927-R2	ArtoA_021492-R1	ArtoB_019220-R1
Morus_004929-R1	Bato_004929-R1	ArtoA_020420-R1	ArtoB_019638-R1
Morus_004932-R1	Bato_004932-R1	ArtoA_020728-R1	ArtoB_019932-R1
Morus_004933-R1	Bato_005155-R1	ArtoA_020123-R1	ArtoB_019876-R1
Morus_004935-R1	Bato_004935-R1	ArtoA_021586-R1	ArtoB_unassigned_transcript_3048
Morus_004936-R1	Bato_004936-R1	ArtoA_019972-R1	ArtoB_018656-R1
Morus_004937-R1	Bato_004937-R1	ArtoA_021611-R1	ArtoB_unassigned_transcript_3089
Morus_004938-R1	Bato_004938-R1	ArtoA_021608-R1	ArtoB_019415-R1
Morus_004940-R1	Bato_004940-R1	ArtoA_021137-R1	ArtoB_018473-R1
Morus_004942-R1	Bato_004942-R1	ArtoA_020100-R1	ArtoB_019726-R1
Morus_004943-R1	Bato_004943-R1	ArtoA_unassigned_transcript_233	ArtoB_018774-R1
Morus_004944-R1	Bato_004944-R1	ArtoA_019956-R1	ArtoB_018930-R1
Morus_004949-R1	Bato_004949-R1	ArtoA_unassigned_transcript_3468	ArtoB_018617-R1
Morus_004952-R1	Bato_004952-R1	ArtoA_021699-R1	ArtoB_019161-R1
Morus_004953-R1	Bato_004953-R1	ArtoA_unassigned_transcript_154	ArtoB_027033-R1
Morus_004955-R1	Bato_004955-R1	ArtoA_020359-R1	ArtoB_unassigned_transcript_3085
Morus_004956-R2	Bato_004956-R2	ArtoA_021123-R1	ArtoB_019914-R1
Morus_004957-R1	Bato_004957-R1	ArtoA_020874-R1	ArtoB_019350-R1
Morus_004958-R1	Bato_004958-R1	ArtoA_020555-R1	ArtoB_018692-R1
Morus_004959-R1	Bato_004959-R1	ArtoA_021652-R1	ArtoB_019469-R1
Morus_004960-R1	Bato_004960-R1	ArtoA_020920-R1	ArtoB_019365-R1
Morus_004961-R1	Bato_004961-R1	ArtoA_020722-R1	ArtoB_018599-R1
Morus_004962-R1	Bato_004962-R1	ArtoA_017638-R1	ArtoB_unassigned_transcript_465
Morus_004963-R1	Bato_004963-R1	ArtoA_021350-R1	ArtoB_018885-R1
Morus_004964-R1	Bato_004964-R1	ArtoA_020680-R1	ArtoB_019886-R1
Morus_004965-R1	Bato_004965-R1	ArtoA_021196-R1	ArtoB_019893-R1
Morus_004966-R9	Bato_004966-R9	ArtoA_021197-R1	ArtoB_019572-R1
Morus_004967-R1	Bato_004967-R1	ArtoA_021534-R1	ArtoB_018959-R1
Morus_004969-R1	Bato_004969-R1	ArtoA_021622-R1	ArtoB_019417-R1
Morus_004970-R1	Bato_004970-R1	ArtoA_021131-R1	ArtoB_019710-R1
Morus_004972-R1	Bato_004972-R1	ArtoA_021194-R1	ArtoB_018894-R1
Morus_004974-R2	Bato_004974-R2	ArtoA_020592-R1	ArtoB_019312-R2
Morus_004976-R1	Bato_004976-R1	ArtoA_021047-R1	ArtoB_unassigned_transcript_3189
Morus_004980-R1	Bato_004980-R1	ArtoA_020108-R1	ArtoB_018614-R1
Morus_004982-R1	Bato_004982-R1	ArtoA_020656-R1	ArtoB_004021-R2
Morus_004983-R1	Bato_004983-R1	ArtoA_021589-R1	ArtoB_018595-R1
Morus_004985-R1	Bato_004985-R1	ArtoA_020475-R1	ArtoB_018813-R1
Morus_004996-R1	Bato_004996-R1	ArtoA_021450-R1	ArtoB_019184-R1
Morus_004998-R1	Bato_004998-R1	ArtoA_021024-R1	ArtoB_unassigned_transcript_3191
Morus_004999-R1	Bato_004999-R1	ArtoA_021025-R2	ArtoB_019209-R1
Morus_005000-R1	Bato_005000-R1	ArtoA_020876-R1	ArtoB_018479-R1
Morus_005001-R1	Bato_005001-R1	ArtoA_020947-R2	ArtoB_018893-R1
Morus_005005-R1	Bato_005005-R1	ArtoA_020658-R2	ArtoB_018485-R1
Morus_005007-R1	Bato_005007-R1	ArtoA_020671-R2	ArtoB_018792-R3
Morus_005009-R2	Bato_005009-R2	ArtoA_020676-R1	ArtoB_019866-R1
Morus_005013-R6	Bato_005013-R6	ArtoA_019993-R1	ArtoB_019298-R2
Morus_005014-R1	Bato_005014-R1	ArtoA_019995-R1	ArtoB_unassigned_transcript_2989
Morus_005015-R1	Bato_005015-R1	ArtoA_unassigned_transcript_3358	ArtoB_019204-R1
Morus_005016-R1	Bato_005016-R1	ArtoA_020040-R1	ArtoB_unassigned_transcript_3010
Morus_005017-R1	Bato_005017-R1	ArtoA_020774-R1	ArtoB_018666-R1
Morus_005018-R1	Bato_005018-R1	ArtoA_019970-R1	ArtoB_019075-R1
Morus_005019-R1	Bato_005019-R1	ArtoA_020682-R1	ArtoB_018539-R2
Morus_005024-R1	Bato_005024-R1	ArtoA_020538-R2	ArtoB_019218-R1
Morus_005025-R1	Bato_005025-R1	ArtoA_020164-R1	ArtoB_019219-R1
Morus_005027-R1	Bato_005027-R1	ArtoA_020399-R1	ArtoB_019330-R1
Morus_005029-R1	Bato_005029-R1	ArtoA_020041-R1	ArtoB_019423-R1
Morus_005031-R1	Bato_005031-R1	ArtoA_021321-R1	ArtoB_018677-R1
Morus_005032-R1	Bato_005032-R1	ArtoA_020773-R1	ArtoB_unassigned_transcript_3116
Morus_005036-R1	Bato_005036-R1	ArtoA_028740-R1	ArtoB_019909-R1
Morus_005040-R1	Bato_005040-R1	ArtoA_021720-R1	ArtoB_018708-R1
Morus_005042-R1	Bato_005042-R1	ArtoA_021382-R1	ArtoB_unassigned_transcript_2940
Morus_005047-R1	Bato_005047-R1	ArtoA_020088-R1	ArtoB_019491-R1
Morus_005050-R1	Bato_005050-R1	ArtoA_021146-R1	ArtoB_unassigned_transcript_1279
Morus_005051-R1	Bato_005051-R1	ArtoA_020411-R1	ArtoB_019515-R1
Morus_005055-R1	Bato_005055-R1	ArtoA_021616-R1	ArtoB_unassigned_transcript_3106
Morus_005056-R1	Bato_005056-R1	ArtoA_020907-R1	ArtoB_019624-R1
Morus_005058-R1	Bato_005058-R1	ArtoA_021076-R1	ArtoB_018704-R1
Morus_005060-R1	Bato_005060-R1	ArtoA_023983-R1	ArtoB_026475-R1
Morus_005062-R1	Bato_005062-R1	ArtoA_021224-R1	ArtoB_019406-R1
Morus_005064-R1	Bato_005064-R1	ArtoA_020831-R1	ArtoB_unassigned_transcript_3206
Morus_005065-R1	Bato_005065-R1	ArtoA_021657-R4	ArtoB_019507-R1
Morus_005066-R1	Bato_005066-R1	ArtoA_021605-R1	ArtoB_019508-R1
Morus_005067-R1	Bato_005067-R1	ArtoA_021524-R1	ArtoB_019040-R1
Morus_005068-R1	Bato_005068-R1	ArtoA_009042-R1	ArtoB_024099-R1
Morus_005069-R1	Bato_005069-R1	ArtoA_019966-R1	ArtoB_018815-R1
Morus_005071-R1	Bato_005071-R1	ArtoA_020582-R1	ArtoB_018919-R1
Morus_005073-R1	Bato_005073-R1	ArtoA_021110-R1	ArtoB_unassigned_transcript_2950
Morus_005074-R1	Bato_005074-R1	ArtoA_unassigned_transcript_3652	ArtoB_018881-R1
Morus_005078-R1	Bato_005078-R1	ArtoA_unassigned_transcript_165	ArtoB_018362-R1
Morus_005079-R1	Bato_005079-R1	ArtoA_020673-R1	ArtoB_018801-R1
Morus_005081-R1	Bato_005081-R1	ArtoA_021176-R1	ArtoB_019252-R1
Morus_005082-R1	Bato_005082-R1	ArtoA_021007-R1	ArtoB_unassigned_transcript_2969
Morus_005083-R1	Bato_005083-R1	ArtoA_021541-R1	ArtoB_019263-R1
Morus_005085-R1	Bato_005085-R1	ArtoA_021574-R1	ArtoB_018564-R1
Morus_005086-R1	Bato_005086-R1	ArtoA_020921-R1	ArtoB_019110-R1
Morus_005088-R1	Bato_005088-R1	ArtoA_020847-R1	ArtoB_019620-R1
Morus_005090-R1	Bato_005090-R1	ArtoA_017001-R1	ArtoB_unassigned_transcript_446
Morus_005094-R1	Bato_005094-R1	ArtoA_020986-R1	ArtoB_019871-R1
Morus_005096-R1	Bato_005096-R1	ArtoA_020002-R1	ArtoB_unassigned_transcript_2934
Morus_005098-R1	Bato_005098-R1	ArtoA_020030-R1	ArtoB_019894-R1
Morus_005099-R1	Bato_005099-R1	ArtoA_020551-R1	ArtoB_unassigned_transcript_2967
Morus_005100-R1	Bato_005100-R1	ArtoA_021283-R2	ArtoB_019880-R1
Morus_005103-R1	Bato_005103-R1	ArtoA_021111-R1	ArtoB_019241-R1
Morus_005104-R1	Bato_005104-R1	ArtoA_020022-R1	ArtoB_019063-R2
Morus_005105-R1	Bato_005105-R1	ArtoA_020004-R1	ArtoB_019460-R1
Morus_005107-R1	Bato_005107-R1	ArtoA_021015-R1	ArtoB_019336-R1
Morus_005108-R1	Bato_005108-R1	ArtoA_020980-R1	ArtoB_019267-R1
Morus_005114-R1	Bato_005114-R1	ArtoA_020944-R1	ArtoB_018838-R1
Morus_005117-R1	Bato_005117-R1	ArtoA_019954-R1	ArtoB_019099-R1
Morus_005118-R1	Bato_005118-R1	ArtoA_020761-R1	ArtoB_019100-R1
Morus_005119-R1	Bato_005119-R1	ArtoA_020600-R2	ArtoB_019322-R1
Morus_005120-R1	Bato_005120-R1	ArtoA_020599-R1	ArtoB_019321-R1
Morus_005125-R1	Bato_005125-R1	ArtoA_033914-R1	ArtoB_020672-R1
Morus_005130-R1	Bato_005130-R1	ArtoA_020923-R1	ArtoB_019292-R1
Morus_005133-R1	Bato_005133-R1	ArtoA_021248-R1	ArtoB_018805-R1
Morus_005136-R1	Bato_005136-R1	ArtoA_020924-R1	ArtoB_019105-R1
Morus_005137-R1	Bato_005137-R1	ArtoA_020636-R1	ArtoB_018593-R1
Morus_005138-R1	Bato_005138-R1	ArtoA_021258-R2	ArtoB_019177-R1
Morus_005139-R1	Bato_005139-R1	ArtoA_033993-R1	ArtoB_020685-R1
Morus_005140-R1	Bato_005140-R1	ArtoA_021503-R3	ArtoB_019164-R2
Morus_005145-R1	Bato_005145-R1	ArtoA_021516-R1	ArtoB_019174-R1
Morus_005146-R1	Bato_005146-R1	ArtoA_016544-R1	ArtoB_020170-R1
Morus_005148-R1	Bato_005148-R1	ArtoA_021261-R1	ArtoB_018814-R1
Morus_005150-R1	Bato_005150-R1	ArtoA_020001-R1	ArtoB_unassigned_transcript_2966
Morus_005152-R1	Bato_005152-R1	ArtoA_020612-R1	ArtoB_019458-R1
Morus_005153-R1	Bato_005153-R1	ArtoA_020688-R1	ArtoB_019776-R1
Morus_005154-R1	Bato_005154-R1	ArtoA_022226-R1	ArtoB_021639-R1
Morus_005157-R2	Bato_005157-R2	ArtoA_021535-R1	ArtoB_019149-R1
Morus_005159-R1	Bato_005159-R1	ArtoA_013103-R1	ArtoB_022884-R1
Morus_005160-R1	Bato_005160-R1	ArtoA_013723-R1	ArtoB_017769-R1
Morus_005161-R1	Bato_005161-R1	ArtoA_020532-R1	ArtoB_019131-R1
Morus_005163-R1	Bato_005163-R1	ArtoA_021523-R1	ArtoB_018562-R1
Morus_005164-R1	Bato_005164-R1	ArtoA_020977-R1	ArtoB_019159-R1
Morus_005165-R1	Bato_005165-R1	ArtoA_020352-R1	ArtoB_unassigned_transcript_3076
Morus_005169-R1	Bato_005169-R1	ArtoA_017375-R1	ArtoB_024465-R1
Morus_005171-R1	Bato_005171-R1	ArtoA_unassigned_transcript_3391	ArtoB_019778-R1
Morus_005172-R1	Bato_005172-R1	ArtoA_020534-R1	ArtoB_019140-R1
Morus_005176-R1	Bato_005176-R1	ArtoA_021040-R1	ArtoB_019378-R1
Morus_005177-R1	Bato_005177-R1	ArtoA_021041-R1	ArtoB_019379-R1
Morus_005178-R1	Bato_005178-R1	ArtoA_019955-R1	ArtoB_019665-R1
Morus_005182-R1	Bato_005182-R1	ArtoA_021136-R1	ArtoB_unassigned_transcript_2912
Morus_005190-R1	Bato_005190-R1	ArtoA_021318-R1	ArtoB_019411-R1
Morus_005191-R1	Bato_005191-R1	ArtoA_020757-R1	ArtoB_019399-R1
Morus_005197-R1	Bato_005197-R1	ArtoA_020858-R1	ArtoB_018879-R1
Morus_005198-R2	Bato_005198-R2	ArtoA_020624-R3	ArtoB_unassigned_transcript_3139
Morus_005202-R1	Bato_005202-R1	ArtoA_020659-R1	ArtoB_018536-R1
Morus_005204-R1	Bato_005204-R1	ArtoA_019984-R1	ArtoB_019937-R1
Morus_005205-R1	Bato_005205-R1	ArtoA_019986-R1	ArtoB_018641-R1
Morus_005207-R1	Bato_005207-R1	ArtoA_020568-R1	ArtoB_018625-R1
Morus_005208-R1	Bato_005208-R1	ArtoA_020386-R1	ArtoB_018476-R1
Morus_005211-R1	Bato_005211-R1	ArtoA_020392-R1	ArtoB_018477-R1
Morus_005212-R1	Bato_005212-R1	ArtoA_021599-R1	ArtoB_019802-R1
Morus_005214-R2	Bato_005214-R2	ArtoA_020450-R1	ArtoB_019913-R1
Morus_005215-R1	Bato_005215-R1	ArtoA_021339-R1	ArtoB_unassigned_transcript_2926
Morus_005218-R1	Bato_005218-R1	ArtoA_020661-R1	ArtoB_019091-R1
Morus_005219-R1	Bato_005219-R1	ArtoA_020446-R1	ArtoB_019907-R1
Morus_005221-R1	Bato_005221-R1	ArtoA_021511-R1	ArtoB_018576-R1
Morus_005223-R1	Bato_005223-R1	ArtoA_017658-R1	ArtoB_unassigned_transcript_502
Morus_005224-R1	Bato_005224-R1	ArtoA_020630-R1	ArtoB_unassigned_transcript_3177
Morus_005228-R1	Bato_005228-R1	ArtoA_020522-R1	ArtoB_018486-R1
Morus_005230-R1	Bato_005230-R1	ArtoA_020797-R1	ArtoB_019463-R1
Morus_005231-R2	Bato_005231-R2	ArtoA_020927-R1	ArtoB_018678-R3
Morus_005239-R1	Bato_005239-R1	ArtoA_020413-R1	ArtoB_018628-R1
Morus_005241-R1	Bato_005241-R1	ArtoA_unassigned_transcript_3415	ArtoB_019904-R1
Morus_005242-R1	Bato_005242-R1	ArtoA_021625-R1	ArtoB_019168-R1
Morus_005243-R1	Bato_005243-R1	ArtoA_021626-R1	ArtoB_019032-R1
Morus_005244-R1	Bato_005244-R1	ArtoA_020067-R1	ArtoB_019324-R1
Morus_005247-R1	Bato_005247-R1	ArtoA_021453-R1	ArtoB_019078-R1
Morus_005250-R1	Bato_005250-R1	ArtoA_021615-R1	ArtoB_018726-R1
Morus_005251-R1	Bato_005251-R1	ArtoA_020818-R1	ArtoB_019418-R1
Morus_005254-R1	Bato_005254-R1	ArtoA_unassigned_transcript_3465	ArtoB_018508-R1
Morus_005256-R1	Bato_005256-R1	ArtoA_020784-R1	ArtoB_019922-R1
Morus_005262-R1	Bato_005262-R1	ArtoA_021259-R1	ArtoB_019196-R1
Morus_005263-R1	Bato_005263-R1	ArtoA_020558-R1	ArtoB_019055-R1
Morus_005265-R1	Bato_005265-R1	ArtoA_021374-R2	ArtoB_019058-R1
Morus_005266-R1	Bato_005266-R1	ArtoA_unassigned_transcript_161	ArtoB_027352-R1
Morus_005267-R1	Bato_005267-R1	ArtoA_021200-R1	ArtoB_019385-R1
Morus_005268-R1	Bato_005268-R1	ArtoA_021573-R1	ArtoB_018623-R1
Morus_005270-R1	Bato_005270-R1	ArtoA_020687-R2	ArtoB_018522-R1
Morus_005271-R1	Bato_005271-R1	ArtoA_021126-R1	ArtoB_018909-R1
Morus_005272-R1	Bato_005272-R1	ArtoA_021017-R1	ArtoB_019276-R1
Morus_005278-R1	Bato_005278-R1	ArtoA_020822-R2	ArtoB_019369-R1
Morus_005280-R1	Bato_005280-R1	ArtoA_031119-R1	ArtoB_027358-R1
Morus_005286-R1	Bato_005286-R1	ArtoA_unassigned_transcript_3535	ArtoB_019480-R1
Morus_005287-R1	Bato_005287-R1	ArtoA_unassigned_transcript_3521	ArtoB_019924-R1
Morus_005289-R2	Bato_005289-R2	ArtoA_unassigned_transcript_3545	ArtoB_018487-R1
Morus_005294-R1	Bato_005294-R1	ArtoA_019973-R1	ArtoB_unassigned_transcript_2951
Morus_005298-R1	Bato_005298-R1	ArtoA_021694-R1	ArtoB_unassigned_transcript_2315
Morus_005302-R1	Bato_005302-R1	ArtoA_020394-R1	ArtoB_019319-R4
Morus_005304-R1	Bato_005304-R1	ArtoA_011943-R1	ArtoB_019200-R1
Morus_005306-R1	Bato_005306-R1	ArtoA_020580-R1	ArtoB_019270-R1
Morus_005311-R2	Bato_005311-R2	ArtoA_020604-R1	ArtoB_018903-R1
Morus_005318-R1	Bato_005318-R1	ArtoA_020409-R1	ArtoB_019542-R1
Morus_005321-R1	Bato_005321-R1	ArtoA_020615-R1	ArtoB_018515-R1
Morus_005327-R1	Bato_005327-R1	ArtoA_020569-R1	ArtoB_018474-R1
Morus_005328-R1	Bato_005328-R1	ArtoA_020525-R1	ArtoB_019044-R1
Morus_005331-R1	Bato_005331-R1	ArtoA_020741-R1	ArtoB_018672-R1
Morus_005336-R1	Bato_005336-R1	ArtoA_021663-R1	ArtoB_019261-R1
Morus_005337-R1	Bato_005337-R1	ArtoA_021664-R1	ArtoB_018627-R1
Morus_005338-R1	Bato_005338-R1	ArtoA_021342-R1	ArtoB_unassigned_transcript_2962
Morus_005339-R1	Bato_005339-R1	ArtoA_021117-R1	ArtoB_019877-R1
Morus_005343-R1	Bato_005343-R1	ArtoA_028240-R1	ArtoB_018889-R1
Morus_005344-R1	Bato_005344-R1	ArtoA_020746-R1	ArtoB_018911-R3
Morus_005346-R1	Bato_005346-R1	ArtoA_020765-R1	ArtoB_019136-R1
Morus_005347-R1	Bato_005347-R1	ArtoA_020404-R1	ArtoB_019214-R1
Morus_005348-R1	Bato_005348-R1	ArtoA_013191-R1	ArtoB_026589-R1
Morus_005352-R1	Bato_005352-R1	ArtoA_020590-R1	ArtoB_unassigned_transcript_3032
Morus_005353-R1	Bato_005353-R1	ArtoA_021500-R1	ArtoB_unassigned_transcript_3115
Morus_005354-R1	Bato_005354-R1	ArtoA_020712-R1	ArtoB_018790-R1
Morus_005362-R1	Bato_005362-R1	ArtoA_020768-R1	ArtoB_019389-R1
Morus_005364-R1	Bato_005364-R1	ArtoA_020644-R1	ArtoB_019760-R1
Morus_005366-R1	Bato_005366-R1	ArtoA_020809-R1	ArtoB_019794-R2
Morus_005367-R1	Bato_005367-R1	ArtoA_021700-R1	ArtoB_018621-R1
Morus_005368-R1	Bato_005368-R1	ArtoA_020696-R1	ArtoB_unassigned_transcript_2999
Morus_005370-R1	Bato_005370-R1	ArtoA_020470-R1	ArtoB_019933-R1
Morus_005373-R1	Bato_005373-R1	ArtoA_unassigned_transcript_3473	ArtoB_019844-R1
Morus_005376-R1	Bato_005376-R1	ArtoA_012137-R2	ArtoB_027524-R1
Morus_005377-R1	Bato_004567-R1	ArtoA_021665-R1	ArtoB_018920-R1
Morus_005380-R1	Bato_005380-R1	ArtoA_020410-R1	ArtoB_019775-R1
Morus_005381-R1	Bato_005381-R1	ArtoA_unassigned_transcript_3668	ArtoB_019405-R1
Morus_005382-R1	Bato_005382-R1	ArtoA_021305-R1	ArtoB_unassigned_transcript_2929
Morus_005389-R1	Bato_005389-R1	ArtoA_020319-R1	ArtoB_unassigned_transcript_3282
Morus_005390-R1	Bato_005390-R1	ArtoA_021585-R1	ArtoB_018649-R1
Morus_005391-R1	Bato_005391-R1	ArtoA_021685-R1	ArtoB_019485-R1
Morus_005394-R1	Bato_005394-R1	ArtoA_unassigned_transcript_3525	ArtoB_018607-R1
Morus_005398-R1	Bato_005398-R1	ArtoA_021734-R1	ArtoB_019096-R1
Morus_005400-R1	Bato_unassigned_transcript_137	ArtoA_016891-R1	ArtoB_unassigned_transcript_389
Morus_005402-R1	Bato_005402-R1	ArtoA_020842-R1	ArtoB_unassigned_transcript_2996
Morus_005403-R1	Bato_005403-R1	ArtoA_unassigned_transcript_3612	ArtoB_018635-R1
Morus_005404-R1	Bato_005404-R1	ArtoA_020429-R1	ArtoB_unassigned_transcript_3064
Morus_005409-R1	Bato_005409-R1	ArtoA_020073-R1	ArtoB_018665-R1
Morus_005411-R1	Bato_005411-R1	ArtoA_020378-R1	ArtoB_018744-R1
Morus_005414-R1	Bato_005414-R1	ArtoA_unassigned_transcript_3439	ArtoB_019805-R1
Morus_005416-R1	Bato_005416-R1	ArtoA_020843-R1	ArtoB_019757-R1
Morus_005423-R1	Bato_005423-R1	ArtoA_003883-R1	ArtoB_unassigned_transcript_266
Morus_005440-R1	Bato_005440-R1	ArtoA_020791-R1	ArtoB_unassigned_transcript_5932
Morus_005444-R1	Bato_005444-R1	ArtoA_unassigned_transcript_3337	ArtoB_unassigned_transcript_2920
Morus_005445-R1	Bato_005445-R1	ArtoA_021692-R1	ArtoB_unassigned_transcript_2925
Morus_005454-R2	Bato_005454-R2	ArtoA_021572-R1	ArtoB_018895-R1
Morus_005460-R1	Bato_005460-R1	ArtoA_020387-R1	ArtoB_019782-R1
Morus_005464-R3	Bato_005464-R3	ArtoA_021513-R3	ArtoB_019217-R5
Morus_005470-R1	Bato_005470-R1	ArtoA_021548-R1	ArtoB_018706-R1
Morus_005472-R1	Bato_005472-R1	ArtoA_020039-R1	ArtoB_018772-R1
Morus_005474-R1	Bato_005474-R1	ArtoA_unassigned_transcript_3697	ArtoB_unassigned_transcript_3235
Morus_005481-R1	Bato_005481-R1	ArtoA_021304-R1	ArtoB_019145-R1
Morus_005488-R1	Bato_005488-R1	ArtoA_021676-R1	ArtoB_019341-R1
Morus_005494-R1	Bato_005494-R1	ArtoA_unassigned_transcript_3428	ArtoB_019346-R1
Morus_005505-R1	Bato_005505-R1	ArtoA_unassigned_transcript_3377	ArtoB_018831-R1
Morus_005508-R1	Bato_005508-R1	ArtoA_021730-R1	ArtoB_019092-R1
Morus_005512-R1	Bato_005512-R1	ArtoA_021624-R1	ArtoB_018618-R1
Morus_005523-R1	Bato_005523-R1	ArtoA_020372-R1	ArtoB_018667-R1
Morus_005533-R1	Bato_unassigned_transcript_1616	ArtoA_021042-R1	ArtoB_019477-R1
Morus_005549-R1	Bato_005549-R1	ArtoA_021437-R1	ArtoB_019359-R1
